Date,Meal,Canteen_Section,Food_Category,Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss,Year,Month,Day,Weekday,Week,DayOfYear,Quarter,IsWeekend,Is_Waste_Outlier,Is_Cost_Outlier,Is_High_Waste,Is_High_Cost,Month_Name,Weekday_Type,Waste_per_Price,Log_Waste
2025-06-11,Breakfast,B,Vegetables,1.81,3.0,5.43,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,0.6033333333333334,1.0331844833456545
2025-06-11,Lunch,B,Soup,3.32,1.5,4.9799999999999995,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,2.2133333333333334,1.463255402256019
2025-06-11,Dinner,B,Soup,1.27,1.5,1.905,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,0.8466666666666667,0.8197798314933114
2025-06-11,Lunch,D,Soup,1.1,1.5,1.6500000000000001,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,0.7333333333333334,0.7419373447293773
2025-06-11,Dinner,D,Meat,4.57,8.0,36.56,2025,6,11,Wednesday,24,162,2,False,False,True,True,True,June,Weekday,0.57125,1.7173950539391927
2025-06-11,Lunch,A,Meat,1.64,8.0,13.12,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,0.205,0.9707789171582247
2025-06-11,Dinner,C,Vegetables,2.81,3.0,8.43,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,0.9366666666666666,1.3376291891386096
2025-06-11,Breakfast,D,Meat,4.73,8.0,37.84,2025,6,11,Wednesday,24,162,2,False,False,True,True,True,June,Weekday,0.59125,1.7457155307266483
2025-06-11,Dinner,A,Rice,2.79,2.0,5.58,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,1.395,1.332366019094335
2025-06-11,Breakfast,B,Rice,2.51,2.0,5.02,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,1.255,1.2556160374777745
2025-06-11,Dinner,B,Vegetables,3.08,3.0,9.24,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,1.0266666666666666,1.4060969884160703
2025-06-11,Breakfast,A,Vegetables,2.97,3.0,8.91,2025,6,11,Wednesday,24,162,2,False,False,False,False,False,June,Weekday,0.9900000000000001,1.3787660946990992
